Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-80-43714-6,10.0.0.15,43714,168.63.129.16,80,6,23/04/2025 10:48:24 AM,2542,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,998819.8269,1966.955153,635.5,934.2349811,1999,27,27,27,0,27,27,2542,1271,1110.157646,2056,486,0,0,0,0,64,112,786.7820614,1180.173092,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-43714-6,10.0.0.15,43714,168.63.129.16,80,6,23/04/2025 10:48:24 AM,251,1,1,0,0,0,0,0,0,0,0,0,0,0,7968.12749,251,0,251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3984.063745,3984.063745,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-50018-6,10.0.0.15,50018,168.63.129.16,32526,6,23/04/2025 10:48:24 AM,5486,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,107911.0463,911.410864,1371.5,2505.071855,5126,28,70,70,0,70,70,5486,2743,3508.663848,5224,262,0,0,0,0,64,112,364.5643456,546.8465184,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-50030-6,10.0.0.15,50030,168.63.129.16,32526,6,23/04/2025 10:48:24 AM,1107,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,1024390.244,6323.396567,184.5,257.3882282,640,10,32,16,8.485281374,22,10,1107,369,260.2633282,640,121,0,0,0,0,96,144,2710.0271,3613.369467,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-50044-6,10.0.0.15,50044,168.63.129.16,32526,6,23/04/2025 10:48:24 AM,1517,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,2112063.283,4614.370468,252.8333333,387.3945878,996,12,34,17,7.071067812,22,12,1517,505.6666667,436.1425608,996,161,0,0,0,0,96,144,1977.587343,2636.783125,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-54154-80-6,168.63.129.16,54154,10.0.0.15,80,6,23/04/2025 10:48:27 AM,138,0,2,0,0,0,0,0,0,0,0,0,0,0,14492.75362,138,0,138,138,0,0,0,0,0,138,138,0,138,138,0,0,0,0,0,40,0,14492.75362,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45376-6,10.0.0.15,45376,168.63.129.16,80,6,23/04/2025 10:48:30 AM,2917,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,870414.8097,1714.089818,729.25,864.5150375,1800,24,31,31,0,31,31,2917,1458.5,560.7356775,1855,1062,0,0,0,0,64,112,685.6359273,1028.453891,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45376-6,10.0.0.15,45376,168.63.129.16,80,6,23/04/2025 10:48:30 AM,344,1,1,0,0,0,0,0,0,0,0,0,0,0,5813.953488,344,0,344,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2906.976744,2906.976744,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49064-6,10.0.0.15,49064,168.63.129.16,32526,6,23/04/2025 10:48:30 AM,7525,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,78671.09635,664.4518272,1881.25,3466.153716,7074,27,27,27,0,27,27,7525,3762.5,4762.364171,7130,395,0,0,0,0,64,112,265.7807309,398.6710963,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49076-6,10.0.0.15,49076,168.63.129.16,32526,6,23/04/2025 10:48:30 AM,1288,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,880434.7826,5434.782609,214.6666667,299.5387565,761,12,37,18.5,9.192388155,25,12,1288,429.3333333,305.3102247,761,160,0,0,0,0,96,144,2329.192547,3105.590062,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
