Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-80-54914-6,10.0.0.15,54914,168.63.129.16,80,6,22/04/2025 08:31:06 PM,2095,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,1211933.174,2386.634845,523.75,653.5397846,1395,21,22,22,0,22,22,2095,1047.5,552.2503961,1438,657,0,0,0,0,64,112,954.6539379,1431.980907,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,49153,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-54914-6,10.0.0.15,54914,168.63.129.16,80,6,22/04/2025 08:31:06 PM,219,1,1,0,0,0,0,0,0,0,0,0,0,0,9132.420091,219,0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4566.210046,4566.210046,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-35626-6,10.0.0.15,35626,168.63.129.16,32526,6,22/04/2025 08:31:06 PM,12869,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,46002.02036,388.5305774,3217.25,4038.177425,8426,20,27,27,0,27,27,12869,6434.5,2816.406309,8426,4443,0,0,0,0,64,112,155.4122309,233.1183464,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,49152,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-35636-6,10.0.0.15,35636,168.63.129.16,32526,6,22/04/2025 08:31:06 PM,1050,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,1080000,6666.666667,175,212.7608987,547,14,44,22,11.3137085,30,14,1050,350,176.5700994,547,206,0,0,0,0,96,144,2857.142857,3809.52381,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,49150,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-35638-6,10.0.0.15,35638,168.63.129.16,32526,6,22/04/2025 08:31:06 PM,1310,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,2445801.527,5343.51145,218.3333333,275.9490291,611,10,28,14,5.656854249,18,10,1310,436.6666667,231.5044996,611,174,0,0,0,0,96,144,2290.076336,3053.435115,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,49154,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-55318-6,10.0.0.15,55318,168.63.129.16,80,6,22/04/2025 08:31:12 PM,2162,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,1174375.578,2312.673451,540.5,712.584264,1528,16,21,21,0,21,21,2162,1081,684.4793642,1565,597,0,0,0,0,64,112,925.0693802,1387.60407,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,49153,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-55318-6,10.0.0.15,55318,168.63.129.16,80,6,22/04/2025 08:31:12 PM,216,1,1,0,0,0,0,0,0,0,0,0,0,0,9259.259259,216,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4629.62963,4629.62963,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-45222-6,10.0.0.15,45222,168.63.129.16,32526,6,22/04/2025 08:31:12 PM,4816,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,122923.588,1038.20598,1204,2080.697639,4309,19,21,21,0,21,21,4816,2408,2744.988525,4349,467,0,0,0,0,64,112,415.282392,622.923588,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,49152,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-45224-6,10.0.0.15,45224,168.63.129.16,32526,6,22/04/2025 08:31:12 PM,5268,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,215261.959,1328.777525,878,1861.948549,4664,11,35,17.5,9.192388155,24,11,5268,1756,2522.125493,4664,165,0,0,0,0,96,144,569.476082,759.3014427,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,49150,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-45230-6,10.0.0.15,45230,168.63.129.16,32526,6,22/04/2025 08:31:12 PM,1330,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,2409022.556,5263.157895,221.6666667,271.8313202,589,9,24,12,4.242640687,15,9,1330,443.3333333,208.8931146,589,204,0,0,0,0,96,144,2255.639098,3007.518797,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,49154,2,0,0,0,0,0,0,0,0,0,No Label
