Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-57643-80-6,168.63.129.16,57643,10.0.0.15,80,6,21/04/2025 10:21:49 PM,142,0,2,0,0,0,0,0,0,0,0,0,0,0,14084.50704,142,0,142,142,0,0,0,0,0,142,142,0,142,142,0,0,0,0,0,40,0,14084.50704,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-36756-6,10.0.0.15,36756,168.63.129.16,80,6,21/04/2025 10:21:49 PM,2689,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,944217.1811,1859.427296,672.25,964.6973187,2068,23,31,31,0,31,31,2689,1344.5,1099.551045,2122,567,0,0,0,0,64,112,743.7709186,1115.656378,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-36756-6,10.0.0.15,36756,168.63.129.16,80,6,21/04/2025 10:21:49 PM,259,1,1,0,0,0,0,0,0,0,0,0,0,0,7722.007722,259,0,259,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3861.003861,3861.003861,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49936-6,10.0.0.15,49936,168.63.129.16,32526,6,21/04/2025 10:21:49 PM,6472,2,3,448,145,448,0,224,316.783838,145,0,48.33333333,83.71578903,91625.46354,772.5587145,1618,3017.69117,6141,25,25,25,0,25,25,6472,3236,4181.829504,6193,279,0,0,0,0,64,112,309.0234858,463.5352287,0,448,98.83333333,180.6216118,32624.16667,0,1,0,0,0,0,0,0,1,118.6,224,48.33333333,0,0,0,0,0,0,2,448,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49940-6,10.0.0.15,49940,168.63.129.16,32526,6,21/04/2025 10:21:49 PM,1751,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,647629.9258,3997.715591,291.8333333,519.1610219,1337,10,33,16.5,9.192388155,23,10,1751,583.6666667,652.847098,1337,183,0,0,0,0,96,144,1713.306682,2284.408909,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49956-6,10.0.0.15,49956,168.63.129.16,32526,6,21/04/2025 10:21:49 PM,1692,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,1893617.021,4137.115839,282,503.0196815,1292,11,30,15,5.656854249,19,11,1692,564,632.0704075,1292,155,0,0,0,0,96,144,1773.049645,2364.066194,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-52152-6,10.0.0.15,52152,168.63.129.16,80,6,21/04/2025 10:21:55 PM,2600,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,976538.4615,1923.076923,650,960.2044921,2064,47,52,52,0,52,52,2600,1300,1220.466304,2163,437,0,0,0,0,64,112,769.2307692,1153.846154,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-52152-6,10.0.0.15,52152,168.63.129.16,80,6,21/04/2025 10:21:55 PM,272,1,1,0,0,0,0,0,0,0,0,0,0,0,7352.941176,272,0,272,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3676.470588,3676.470588,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-38750-6,10.0.0.15,38750,168.63.129.16,32526,6,21/04/2025 10:21:55 PM,5734,2,3,448,145,448,0,224,316.783838,145,0,48.33333333,83.71578903,103418.2072,871.9916289,1433.5,2668.016804,5432,21,21,21,0,21,21,5734,2867,3688.268971,5475,259,0,0,0,0,64,112,348.7966516,523.1949773,0,448,98.83333333,180.6216118,32624.16667,0,1,0,0,0,0,0,0,1,118.6,224,48.33333333,0,0,0,0,0,0,2,448,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-38754-6,10.0.0.15,38754,168.63.129.16,32526,6,21/04/2025 10:21:55 PM,1199,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,945788.1568,5838.198499,199.8333333,274.9242926,723,12,39,19.5,10.60660172,27,12,1199,399.6666667,281.7256349,723,207,0,0,0,0,96,144,2502.085071,3336.113428,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
